動詞,,,,,
あう,会う,見面,駅で友達に会う,えきでともだちにあう,在車站與朋友見面,おう
あがる,上がる,登;升;進入;結束,エスカレーターで上がる,エスカレーターであがる,坐電梯上來,うえがる
あく,開く,開;開店;開業,ドアが開いています,ドアがあいています,門開著,おく
あける,開ける,打開;開啟,窓を開ける,まどをあける,打開窗戶,あげる
あげる,上げる,抬起;舉起;提高,部屋の温度を上げる,へやのおんどをあげる,把房間的溫度提高,おげる
あげる,,給予,私は友達に花をあげる,わたしはともだちにはなをあげる,我給朋友花,あける
あそぶ,遊ぶ,遊玩,公園に遊びに行く,こうえんにあそびにいく,去公園玩,ゆうぶ
あらう,洗う,清洗,手を洗う,てをあらう,洗手,わらう
ある,有る,有,マスクが有る,マスクがある,有口罩,ゆる
あるく,歩く,走路,駅まで歩いて行く,えきまであるいていく,走去車站,あぶく
いう,言う,講,「Ｇood」日本語で何と言う,「Ｇood」にほんごでなんという,Good用日文怎麼說,ごう
いく,行く,去,会社へ行く,かいしゃへいく,去公司,ゆく
いる,要る,需要,砂糖が要る,さとがいる,需要砂糖,ようる
いる,,在,私は5時まで家にいます,わたしはごじまでいえにいます,我五點前在家,ざる
いれる,入れる,放進;放入,醤油を入れる,しょうゆをいれる,加入醬油,はいれる
うたう,歌う,唱,日本の歌を歌う,にほんのうたをうたう,唱日本歌,うだう
うまれる,生まれる,出生,女の子が生まれる,おんなのこがうまれる,女孩出生,いまれる
うる,売る,販賣,安く売る,やすくうる,便宜賣,うりる
おきる,起きる,起床,毎朝6時に起きる,まいあさろくじにおきる,每天早上六點起床,おぎる
おく,置く,放置,机に本を置く,つくえにほんをおく,把書本放桌上,あく
おしえる,教える,教導,友達にピアノを教える,ともだちにピアノをおしえる,教朋友鋼琴,おそわえる
おす,押す,推;按押,ドアを押して開ける,ドアをおしてあける,推開門,あす
おぼえる,覚える,記得,名前を覚える,なまえをおぼえる,記住名字,おぽえる
およぐ,泳ぐ,游泳,海で泳ぐ,うみでおよぐ,在海邊游泳,いんぐ
おりる,降りる,下降;下來,電車を降りる,でんしゃをおりる,下電車,ふりる
おわる,終わる,結束,夏休みが終わる,なつやすみがおわる,暑假結束了,しまわる
かう,買う,買,飲み物を買う,のみものをかう,買喝的東西,がう
かえす,返す,歸還,友達に傘を返す,ともだちにかさをかえす,還朋友雨傘,かす
かえる,帰る,回家;回去,家に帰る,いえにかえる,回家,かえれる
かかる,,花費;耗時,家から会社まで1時間かかる,いえからかいしゃまでいちじかんかかる,從家到公司要花一小時,かがる
かく,書く,寫,住所を書く,じゅうしょをかく,寫地址,かぐ
かす,貸す,借給;借出,お金を貸す,おかねをかす,借錢給他人,かいす
かぶる,,戴,帽子をかぶる,ぼうしをかぶる,戴帽子,かぷる
かりる,借りる,借;借助,図書館で本を借りる,としょかんでほんをかりる,在圖書館借書,きりる
きえる,消える,消失;熄滅,火が消える,ひがきえる,熄火,けえる
きく,聞く,聽,音楽を聴く,おんがくをきく,聽音樂,きぐ
くる,来る,來,友達が日本に遊びに来る,ともだちがにほんにあそびにくる,朋友來日本玩,こる
けす,消す,消失;關掉,テレビを消す,テレビをけす,關掉電視,きえす
こたえる,答える,回答,正しく答える,ただしくこたえる,正確的回答,ごたえる
こまる,困る,困擾;為難,お金に困る,おかねにこまる,為錢所困,こんる
さく,咲く,開（花）,花を咲く,はなをさく,開花,まく
しぬ,死ぬ,死亡,コロナウイルスで死ぬ,コロナウイルスでしぬ,死於新型冠狀病毒,しっぬ
しまる,閉まる,關閉,ドアが閉まる,ドアがしまる,關門,しめまる
しめる,締める,繫緊,靴の紐を締める,くつのひもをしめる,綁鞋帶,じめる
しめる,閉める,關閉,窓を閉める,まどをしめる,關窗戶,とめる
すう,吸う,吸;抽,たばこを吸う,たばこをすう,吸菸,しう
すむ,住む,居住,東京に住んでいる,とうきょにすんでいる,住東京,しむ
する,,做某事,食事をする,しょくじをする,用餐,ずる
すわる,座る,坐,椅子に座る,いすにすわる,坐在椅子上,ざる
だす,出す,拿出;取出,鞄から本を出す,かばんからほんをだす,從包包拿出書本,です
たつ,立つ,站立;站著,ドアの前に立つ,ドアのまえにたつ,在門前站著,りつ
たべる,食べる,吃,ご飯を食べる,ごはんをたべる,吃飯,くべる
つかう,使う,使用,綺麗に使う,きれいにつかう,好好的使用,つがう
つくる,作る,製造;製作,木で椅子を作る,きでいすをつくる,用木頭作椅子,つくりる
でる,出る,出去;出來,家を出る,いえをでる,從家裡出門,だる
とぶ,飛ぶ,飛,鳥が空を飛ぶ,とりがそらをとぶ,鳥從空中飛過,どぶ
とる,取る,拍攝,写真を撮る,しゃしんをとる,拍照,どる
ならう,習う,學習,日本人に日本語を習う,にほんじんににほんごをならう,向日本人學習日文,しう
ねる,寝る,睡覺,9時に寝る,くじにねる,九點鐘睡覺,ねえる
のぼる,登る,登山,富士山に登る,ふじさんにのぼる,爬富士山,のばる
のむ,飲む,喝,水を飲む,みずをのむ,喝水,のんむ
のる,乗る,乘車,電車に乗る,でんしゃにのる,搭電車,じょうる
はいる,入る,進入,風呂に入る,ふろにはいる,進入浴室,いる
はじまる,始まる,開始,学校が始まる,がっこうがはじまる,學校開課了,しまる
はなす,話す,說話,友達と話す,ともだちとはなす,和朋友說話,はなず
ふる,降る,下（雨或雪）,雨が降る,あめがふる,下雨,おりる
まがる,曲がる,轉彎;彎曲,左に曲がる,ひだりにまがる,向左轉彎,まかる
まつ,待つ,等待,ここで待っています,ここでまっています,在這裡等,もつ
みがく,磨く,刷;擦;磨,歯を磨く,はをみがく,刷牙,みかく
みせる,見せる,給～看,友達に写真を見せる,ともだちにしゃしんをみせる,給朋友看照片,みかせる
みる,見る,看;觀看,テレビを見る,テレビをみる,看電視,いる
もつ,持つ,拿;持;帶,傘を持って出かける,かさをもってでかける,帶雨傘出門,まつ
やすむ,休む,休息,風邪で学校を休む,かぜでがっこうをやすむ,因為感冒向學校請假,すむ
よぶ,呼ぶ,呼喊,名前を呼ぶ,なまえをよぶ,呼喊名字,よぷ
よむ,読む,朗讀;閱讀,新聞を読む,しんぶんをよむ,閱讀報紙,どくむ
わかる,分かる,明白,言いたいことはよく分かる,いいたいことはよくわかる,你想說的話我都明白,ぶんかる
