い形容詞,,,,,
あおい,青い,藍色,空が青い,そらがあおい,天空蔚藍,ああい
あかい,赤い,紅色,顔が赤くなる,かおがあかくなる,臉變紅了,おかい
あかるい,明るい,明亮,部屋が明るい,へやがあかるい,房間明亮,あしるい
あたたかい,暖かい,溫暖,暖かい春が来た,あたたかいはるがきた,溫暖的春天來臨了,あたかい
あたらしい,新しい,新的,新しい家に住む,あたらしいいえにすむ,住新家,あだらしい
あつい,暑い,炎熱,今年の夏は暑い,ことしのなつはあつい,今年夏天很熱,あづい
あぶない,危ない,危險,道路で遊ぶのは危ない,どうろであそぶのはあぶない,在馬路玩很危險,きない
あまい,甘い,甜的,このケーキは甘い,このケーキはあまい,這塊蛋糕很甜,うまい
いい/よい,,很好、很棒,天気がいい,てんきがいい,天氣很好,
いそがしい,忙しい,忙碌,仕事で忙しい,しごとでいそがしい,工作忙碌,いぞがしい
いたい,痛い,痛的、痛心,頭が痛い,あたまがいたい,頭痛,いだい
うすい,薄い,薄的,肉を薄く切る,にくをうすくきる,把肉切薄片,うずい
うるさい,,吵鬧、吵雜,電車の音がうるさい,でんしゃのおとがうるさい,電車聲音很吵雜,うるざい
おいしい,,好吃、美味,この料理はおいしい,このりょうりはおいしい,這道菜很好吃,あいしい
おおい,多い,多的,夏は雨が多い,なつはあめがおおい,夏季降雨多,おうい
おおきい,大きい,大的,字を大きく書く,じをおおきくかく,把字寫大一點,おおぎい
おそい,遅い,慢,食べるのが遅い,たべるのがおそい,吃很慢,おぞい
おもい,重い,重的,このかばんは重い,このかばんはおもい,這皮包很重,あもい
おもしろい,面白い,有趣,昨日見た映画はおもしろかった,かのうみたえいがはおもしろかった,昨天看的電影很有趣,めんしろい
からい,辛い,辣、辛辣,私は辛い食ベ物が好きだ,わたしはからいたべものがすきだ,我喜歡吃辛辣的食物,しんい
かるい,軽い,輕的,この椅子は軽い,このいすはかるい,這張椅子很輕,がるい
かわいい,,可愛的,可愛い声で歌う,かわいいこえでうたう,用可愛的聲音唱歌,かわい
きいろい,黄色い,黃色,黄色い花が咲く,きいろいはながさく,黃色的花開了,きいいろい
きたない,汚い,骯髒,部屋が汚い,へやがきたない,房間很髒,きだない
くらい,暗い,黑暗,夜の道は暗い,よるのみちはくらい,夜晚的道路很黑暗,ぐらい
くろい,黒い,黑色,黒いスーツを買う,くろいスーツをかう,購買黑色的西裝,ぐろい
さむい,寒い,寒冷,冬は寒い,ふゆはさむい,冬天很冷,ざむい
しろい,白い,白色,白い雪が降る,しろいゆきがふる,下白雪,はくろい
すくない,少ない,少的,この会社は休みが少ない,このかいしやはやすみがすくない,這間公司休假很少,ずくない
せまい,狭い,狹小,私の部屋は狭い,わたしのへやはせまい,我的房間很狹小,ぜまい
たかい,高い,高,あの山は高い,あのやまはたかい,那座山很高,たがい
たかい,高い,昂貴,このかばんは高い,このかばんはたかい,這個皮包很貴,たがい
たのしい,楽しい,開心、快樂,友達と遊んで楽しかった,ともだちとあそんでたのしかった,和朋友一起玩很開心,らくしい
ちいさい,小さい,小的,小さい声で話す,ちいさいこえではなす,小聲說話,ちいざい
ちかい,近い,近,会社は駅に近い,かいしゃはえきにちかい,公司離車站很近,ちがい
つよい,強い,強,今日は風が強い,きょうはかぜがつよい,今天風很強,づよい
とおい,遠い,遠,遠い道を歩く,とおいみちをあるく,走遠路,とい
ない,無い,沒有,時間がない,じかんがない,沒有時間,むい
ながい,長い,長,電話で長く話す,でんわでながくはなす,講了很久的電話,なかい
はやい,速い,快,この車はスピードが速い,このくるまはスピードがはやい,這輛車速度很快,ばやい
はやい,早い,早,朝早く起きる,あさはやくおきる,早上很早起,ばやい
ひくい,低い,低、矮,田中さんは背が低い,たなかさんはせがひくい,田中先生很矮,ひぐい
ひろい,広い,寬廣,家の前に広い公園がある,いえのまえにひろいこうえんがある,家門前有寬閾的公園,ひろおい
ふるい,古い,舊的、老舊,鞄が古くなる,かばんが古くなる,包包變舊了,こい
まずい,不味い,難吃,まずく食べたくない,まずくたべたくない,這麼難吃我不想吃,ますい
まるい,丸い,圓的,ボールは丸い,ボールはまるい,球是圓的,がんい
みじかい,短い,短,髪を短く切る,かみをみじかくきる,把頭髮剪短,みじがい
むずかしい,難しい,難,難しい漢字を書く,むずかしいかんじをかく,書寫有難度的漢字,むずしい
やすい,安い,便宜,この店は安くておいしい,このみせはやすくておいしい,這間店便宜又好吃,やさしい
よわい,弱い,弱、虛弱,体が弱い,からだがよわい,身體虛弱,よい
わるい,悪い,不好,天気が悪い,てんきがわるい,天氣不好,わい
